pygame 2.1.0 (SDL 2.0.16, Python 3.8.0)
Hello from the pygame community. https://www.pygame.org/contribute.html
Traceback (most recent call last):
  File "./agent.py", line 486, in <module>
    args = parse_args(args)
  File "./agent.py", line 240, in parse_args
    parser.add_argument('--normal', default=True, action='store_flase')
  File "/home/slc/miniconda3/envs/RL2/lib/python3.8/argparse.py", line 1367, in add_argument
    raise ValueError('unknown action "%s"' % (action_class,))
ValueError: unknown action "store_flase"
pygame 2.1.0 (SDL 2.0.16, Python 3.8.0)
Hello from the pygame community. https://www.pygame.org/contribute.html
Successfully set seed to 2
Dueling_DQN(
  (features): Sequential(
    (0): Conv2d(4, 32, kernel_size=(8, 8), stride=(4, 4))
    (1): ReLU()
    (2): Conv2d(32, 64, kernel_size=(4, 4), stride=(2, 2))
    (3): ReLU()
    (4): Conv2d(64, 64, kernel_size=(3, 3), stride=(1, 1))
    (5): ReLU()
  )
  (advantage): Sequential(
    (0): Linear(in_features=68160, out_features=512, bias=True)
    (1): ReLU()
    (2): Linear(in_features=512, out_features=5, bias=True)
  )
  (value): Sequential(
    (0): Linear(in_features=68160, out_features=512, bias=True)
    (1): ReLU()
    (2): Linear(in_features=512, out_features=1, bias=True)
  )
)
Ep: 0 | Ep_r: 5.77 | t_so_far: {7} | epsilon: 0.101 max: 5.766666666666667
Ep: 1 | Ep_r: 10.19 | t_so_far: {42} | epsilon: 0.106 max: 10.186666666666667
Ep: 2 | Ep_r: 16.35 | t_so_far: {92} | epsilon: 0.113 max: 16.349333333333334
Ep: 3 | Ep_r: 16.46 | t_so_far: {113} | epsilon: 0.116 max: 16.45946666666667
Ep: 4 | Ep_r: 14.93 | t_so_far: {124} | epsilon: 0.118 max: 16.45946666666667
Ep: 5 | Ep_r: 12.77 | t_so_far: {129} | epsilon: 0.118 max: 16.45946666666667
Ep: 6 | Ep_r: 16.39 | t_so_far: {165} | epsilon: 0.123 max: 16.45946666666667
Ep: 7 | Ep_r: 14.04 | t_so_far: {171} | epsilon: 0.124 max: 16.45946666666667
Ep: 8 | Ep_r: 14.38 | t_so_far: {190} | epsilon: 0.127 max: 16.45946666666667
Ep: 9 | Ep_r: 13.14 | t_so_far: {201} | epsilon: 0.128 max: 16.45946666666667
Ep: 10 | Ep_r: 18.68 | t_so_far: {251} | epsilon: 0.135 max: 18.676054210560007
Ep: 11 | Ep_r: 16.43 | t_so_far: {261} | epsilon: 0.137 max: 18.676054210560007
Ep: 12 | Ep_r: 16.2 | t_so_far: {279} | epsilon: 0.139 max: 18.676054210560007
Ep: 13 | Ep_r: 13.65 | t_so_far: {284} | epsilon: 0.14 max: 18.676054210560007
Ep: 14 | Ep_r: 12.7 | t_so_far: {294} | epsilon: 0.141 max: 18.676054210560007
Ep: 15 | Ep_r: 10.86 | t_so_far: {299} | epsilon: 0.142 max: 18.676054210560007
Ep: 16 | Ep_r: 13.73 | t_so_far: {329} | epsilon: 0.146 max: 18.676054210560007
Ep: 17 | Ep_r: 12.26 | t_so_far: {337} | epsilon: 0.147 max: 18.676054210560007
Ep: 18 | Ep_r: 13.25 | t_so_far: {356} | epsilon: 0.15 max: 18.676054210560007
Ep: 19 | Ep_r: 13.47 | t_so_far: {372} | epsilon: 0.152 max: 18.676054210560007
Ep: 20 | Ep_r: 11.7 | t_so_far: {378} | epsilon: 0.153 max: 18.676054210560007
Ep: 21 | Ep_r: 11.47 | t_so_far: {391} | epsilon: 0.154 max: 18.676054210560007
Ep: 22 | Ep_r: 12.39 | t_so_far: {409} | epsilon: 0.157 max: 18.676054210560007
Ep: 23 | Ep_r: 14.93 | t_so_far: {439} | epsilon: 0.161 max: 18.676054210560007
Ep: 24 | Ep_r: 13.22 | t_so_far: {447} | epsilon: 0.162 max: 18.676054210560007
Ep: 25 | Ep_r: 12.13 | t_so_far: {457} | epsilon: 0.163 max: 18.676054210560007
Ep: 26 | Ep_r: 9.95 | t_so_far: {459} | epsilon: 0.164 max: 18.676054210560007
Ep: 27 | Ep_r: 15.67 | t_so_far: {509} | epsilon: 0.17 max: 18.676054210560007
Ep: 28 | Ep_r: 13.58 | t_so_far: {516} | epsilon: 0.171 max: 18.676054210560007
Ep: 29 | Ep_r: 11.51 | t_so_far: {520} | epsilon: 0.172 max: 18.676054210560007
Ep: 30 | Ep_r: 16.64 | t_so_far: {561} | epsilon: 0.177 max: 18.676054210560007
Ep: 31 | Ep_r: 13.74 | t_so_far: {564} | epsilon: 0.177 max: 18.676054210560007
Ep: 32 | Ep_r: 12.58 | t_so_far: {574} | epsilon: 0.179 max: 18.676054210560007
Ep: 33 | Ep_r: 14.95 | t_so_far: {605} | epsilon: 0.183 max: 18.676054210560007
Ep: 34 | Ep_r: 17.58 | t_so_far: {640} | epsilon: 0.187 max: 18.676054210560007
Ep: 35 | Ep_r: 15.24 | t_so_far: {647} | epsilon: 0.188 max: 18.676054210560007
Ep: 36 | Ep_r: 13.79 | t_so_far: {657} | epsilon: 0.19 max: 18.676054210560007
Ep: 37 | Ep_r: 18.29 | t_so_far: {701} | epsilon: 0.195 max: 18.676054210560007
Ep: 38 | Ep_r: 15.66 | t_so_far: {708} | epsilon: 0.196 max: 18.676054210560007
Ep: 39 | Ep_r: 13.18 | t_so_far: {712} | epsilon: 0.197 max: 18.676054210560007
Ep: 40 | Ep_r: 14.71 | t_so_far: {737} | epsilon: 0.2 max: 18.676054210560007
Ep: 41 | Ep_r: 12.0 | t_so_far: {739} | epsilon: 0.2 max: 18.676054210560007
Ep: 42 | Ep_r: 13.2 | t_so_far: {760} | epsilon: 0.203 max: 18.676054210560007
Ep: 43 | Ep_r: 12.46 | t_so_far: {771} | epsilon: 0.204 max: 18.676054210560007
Ep: 44 | Ep_r: 15.95 | t_so_far: {807} | epsilon: 0.209 max: 18.676054210560007
Ep: 45 | Ep_r: 17.84 | t_so_far: {837} | epsilon: 0.213 max: 18.676054210560007
Ep: 46 | Ep_r: 21.97 | t_so_far: {887} | epsilon: 0.219 max: 21.974564453767414
Ep: 47 | Ep_r: 23.33 | t_so_far: {922} | epsilon: 0.223 max: 23.326318229680602
Ep: 48 | Ep_r: 21.82 | t_so_far: {942} | epsilon: 0.226 max: 23.326318229680602
Ep: 49 | Ep_r: 23.88 | t_so_far: {977} | epsilon: 0.23 max: 23.876843666995587
Ep: 50 | Ep_r: 22.4 | t_so_far: {995} | epsilon: 0.232 max: 23.876843666995587
Ep: 51 | Ep_r: 18.36 | t_so_far: {998} | epsilon: 0.233 max: 23.876843666995587
Ep: 52 | Ep_r: 19.71 | t_so_far: {1028} | epsilon: 0.236 max: 23.876843666995587
Ep: 53 | Ep_r: 19.41 | t_so_far: {1051} | epsilon: 0.239 max: 23.876843666995587
Ep: 54 | Ep_r: 18.25 | t_so_far: {1068} | epsilon: 0.241 max: 23.876843666995587
Ep: 55 | Ep_r: 17.94 | t_so_far: {1087} | epsilon: 0.243 max: 23.876843666995587
Ep: 56 | Ep_r: 20.6 | t_so_far: {1124} | epsilon: 0.248 max: 23.876843666995587
Ep: 57 | Ep_r: 24.34 | t_so_far: {1174} | epsilon: 0.254 max: 24.341010755994173
Ep: 58 | Ep_r: 21.53 | t_so_far: {1186} | epsilon: 0.255 max: 24.341010755994173
Ep: 59 | Ep_r: 19.18 | t_so_far: {1197} | epsilon: 0.257 max: 24.341010755994173
Ep: 60 | Ep_r: 18.8 | t_so_far: {1218} | epsilon: 0.259 max: 24.341010755994173
Ep: 61 | Ep_r: 18.13 | t_so_far: {1237} | epsilon: 0.261 max: 24.341010755994173
Ep: 62 | Ep_r: 15.42 | t_so_far: {1243} | epsilon: 0.262 max: 24.341010755994173
Ep: 63 | Ep_r: 12.73 | t_so_far: {1246} | epsilon: 0.262 max: 24.341010755994173
Ep: 64 | Ep_r: 12.21 | t_so_far: {1259} | epsilon: 0.264 max: 24.341010755994173
Ep: 65 | Ep_r: 10.73 | t_so_far: {1265} | epsilon: 0.265 max: 24.341010755994173
Ep: 66 | Ep_r: 11.98 | t_so_far: {1285} | epsilon: 0.267 max: 24.341010755994173
Ep: 67 | Ep_r: 12.66 | t_so_far: {1303} | epsilon: 0.269 max: 24.341010755994173
Ep: 68 | Ep_r: 14.87 | t_so_far: {1328} | epsilon: 0.272 max: 24.341010755994173
Ep: 69 | Ep_r: 15.78 | t_so_far: {1350} | epsilon: 0.275 max: 24.341010755994173
Ep: 70 | Ep_r: 20.92 | t_so_far: {1400} | epsilon: 0.28 max: 24.341010755994173
Ep: 71 | Ep_r: 19.27 | t_so_far: {1416} | epsilon: 0.282 max: 24.341010755994173
Ep: 72 | Ep_r: 17.83 | t_so_far: {1430} | epsilon: 0.284 max: 24.341010755994173
Ep: 73 | Ep_r: 16.05 | t_so_far: {1441} | epsilon: 0.285 max: 24.341010755994173
Ep: 74 | Ep_r: 20.56 | t_so_far: {1491} | epsilon: 0.291 max: 24.341010755994173
Ep: 75 | Ep_r: 18.75 | t_so_far: {1504} | epsilon: 0.292 max: 24.341010755994173
Ep: 76 | Ep_r: 17.12 | t_so_far: {1516} | epsilon: 0.294 max: 24.341010755994173
Ep: 77 | Ep_r: 19.22 | t_so_far: {1548} | epsilon: 0.297 max: 24.341010755994173
Ep: 78 | Ep_r: 16.33 | t_so_far: {1554} | epsilon: 0.298 max: 24.341010755994173
Ep: 79 | Ep_r: 15.17 | t_so_far: {1566} | epsilon: 0.299 max: 24.341010755994173
Ep: 80 | Ep_r: 17.11 | t_so_far: {1596} | epsilon: 0.302 max: 24.341010755994173
Ep: 81 | Ep_r: 21.71 | t_so_far: {1646} | epsilon: 0.308 max: 24.341010755994173
Ep: 82 | Ep_r: 22.8 | t_so_far: {1679} | epsilon: 0.312 max: 24.341010755994173
Ep: 83 | Ep_r: 22.16 | t_so_far: {1701} | epsilon: 0.314 max: 24.341010755994173
Ep: 84 | Ep_r: 23.28 | t_so_far: {1732} | epsilon: 0.317 max: 24.341010755994173
