pygame 2.1.0 (SDL 2.0.16, Python 3.8.0)
Hello from the pygame community. https://www.pygame.org/contribute.html
Traceback (most recent call last):
  File "./agent.py", line 486, in <module>
    args = parse_args(args)
  File "./agent.py", line 240, in parse_args
    parser.add_argument('--normal', default=True, action='store_flase')
  File "/home/slc/miniconda3/envs/RL2/lib/python3.8/argparse.py", line 1367, in add_argument
    raise ValueError('unknown action "%s"' % (action_class,))
ValueError: unknown action "store_flase"
pygame 2.1.0 (SDL 2.0.16, Python 3.8.0)
Hello from the pygame community. https://www.pygame.org/contribute.html
Successfully set seed to 2
attention_Dueling_DQN(
  (features): Sequential(
    (0): Conv2d(4, 32, kernel_size=(8, 8), stride=(4, 4))
    (1): ReLU()
    (2): Conv2d(32, 64, kernel_size=(4, 4), stride=(2, 2))
    (3): ReLU()
    (4): Conv2d(64, 64, kernel_size=(3, 3), stride=(1, 1))
    (5): ReLU()
  )
  (attention): NONLocalBlock2D(
    (g): Conv2d(64, 32, kernel_size=(1, 1), stride=(1, 1))
    (W): Conv2d(32, 64, kernel_size=(1, 1), stride=(1, 1))
    (theta): Conv2d(64, 32, kernel_size=(1, 1), stride=(1, 1))
    (phi): Conv2d(64, 32, kernel_size=(1, 1), stride=(1, 1))
  )
  (advantage): Sequential(
    (0): Linear(in_features=68160, out_features=512, bias=True)
    (1): ReLU()
    (2): Linear(in_features=512, out_features=5, bias=True)
  )
  (value): Sequential(
    (0): Linear(in_features=68160, out_features=512, bias=True)
    (1): ReLU()
    (2): Linear(in_features=512, out_features=1, bias=True)
  )
)
Ep: 0 | Ep_r: 2.83 | t_so_far: {4} | epsilon: 0.1 max: 2.833333333333334
Ep: 1 | Ep_r: 9.13 | t_so_far: {47} | epsilon: 0.107 max: 9.126666666666669
Ep: 2 | Ep_r: 15.55 | t_so_far: {97} | epsilon: 0.114 max: 15.554666666666671
Ep: 3 | Ep_r: 16.02 | t_so_far: {119} | epsilon: 0.117 max: 16.017066666666672
Ep: 4 | Ep_r: 15.97 | t_so_far: {138} | epsilon: 0.119 max: 16.017066666666672
Ep: 5 | Ep_r: 13.17 | t_so_far: {141} | epsilon: 0.12 max: 16.017066666666672
Ep: 6 | Ep_r: 11.01 | t_so_far: {144} | epsilon: 0.12 max: 16.017066666666672
Ep: 7 | Ep_r: 16.52 | t_so_far: {189} | epsilon: 0.127 max: 16.51776384
Ep: 8 | Ep_r: 21.09 | t_so_far: {239} | epsilon: 0.134 max: 21.08754440533334
Ep: 9 | Ep_r: 18.32 | t_so_far: {248} | epsilon: 0.135 max: 21.08754440533334
Ep: 10 | Ep_r: 16.96 | t_so_far: {262} | epsilon: 0.137 max: 21.08754440533334
Ep: 11 | Ep_r: 14.61 | t_so_far: {269} | epsilon: 0.138 max: 21.08754440533334
Ep: 12 | Ep_r: 14.25 | t_so_far: {283} | epsilon: 0.14 max: 21.08754440533334
Ep: 13 | Ep_r: 16.52 | t_so_far: {313} | epsilon: 0.144 max: 21.08754440533334
Ep: 14 | Ep_r: 17.79 | t_so_far: {340} | epsilon: 0.147 max: 21.08754440533334
Ep: 15 | Ep_r: 18.52 | t_so_far: {363} | epsilon: 0.151 max: 21.08754440533334
Ep: 16 | Ep_r: 18.49 | t_so_far: {387} | epsilon: 0.154 max: 21.08754440533334
Ep: 17 | Ep_r: 15.26 | t_so_far: {390} | epsilon: 0.154 max: 21.08754440533334
Ep: 18 | Ep_r: 20.91 | t_so_far: {440} | epsilon: 0.161 max: 21.08754440533334
Ep: 19 | Ep_r: 17.16 | t_so_far: {443} | epsilon: 0.161 max: 21.08754440533334
Ep: 20 | Ep_r: 13.98 | t_so_far: {445} | epsilon: 0.162 max: 21.08754440533334
Ep: 21 | Ep_r: 15.02 | t_so_far: {469} | epsilon: 0.165 max: 21.08754440533334
Ep: 22 | Ep_r: 20.07 | t_so_far: {519} | epsilon: 0.172 max: 21.08754440533334
Ep: 23 | Ep_r: 17.5 | t_so_far: {527} | epsilon: 0.173 max: 21.08754440533334
Ep: 24 | Ep_r: 15.69 | t_so_far: {538} | epsilon: 0.174 max: 21.08754440533334
Ep: 25 | Ep_r: 13.31 | t_so_far: {543} | epsilon: 0.175 max: 21.08754440533334
Ep: 26 | Ep_r: 11.4 | t_so_far: {548} | epsilon: 0.175 max: 21.08754440533334
Ep: 27 | Ep_r: 10.27 | t_so_far: {555} | epsilon: 0.176 max: 21.08754440533334
Ep: 28 | Ep_r: 8.65 | t_so_far: {558} | epsilon: 0.177 max: 21.08754440533334
Ep: 29 | Ep_r: 9.13 | t_so_far: {571} | epsilon: 0.178 max: 21.08754440533334
Ep: 30 | Ep_r: 7.54 | t_so_far: {573} | epsilon: 0.179 max: 21.08754440533334
Ep: 31 | Ep_r: 6.4 | t_so_far: {576} | epsilon: 0.179 max: 21.08754440533334
Ep: 32 | Ep_r: 7.21 | t_so_far: {590} | epsilon: 0.181 max: 21.08754440533334
Ep: 33 | Ep_r: 10.5 | t_so_far: {621} | epsilon: 0.185 max: 21.08754440533334
Ep: 34 | Ep_r: 12.41 | t_so_far: {644} | epsilon: 0.188 max: 21.08754440533334
Ep: 35 | Ep_r: 17.68 | t_so_far: {694} | epsilon: 0.194 max: 21.08754440533334
Ep: 36 | Ep_r: 17.41 | t_so_far: {712} | epsilon: 0.197 max: 21.08754440533334
Ep: 37 | Ep_r: 22.45 | t_so_far: {761} | epsilon: 0.203 max: 22.45093724047604
Ep: 38 | Ep_r: 23.56 | t_so_far: {794} | epsilon: 0.207 max: 23.560749792380836
Ep: 39 | Ep_r: 26.89 | t_so_far: {844} | epsilon: 0.213 max: 26.88859983390467
Ep: 40 | Ep_r: 29.56 | t_so_far: {894} | epsilon: 0.22 max: 29.56421320045707
Ep: 41 | Ep_r: 27.84 | t_so_far: {918} | epsilon: 0.223 max: 29.56421320045707
Ep: 42 | Ep_r: 24.26 | t_so_far: {931} | epsilon: 0.224 max: 29.56421320045707
Ep: 43 | Ep_r: 27.18 | t_so_far: {976} | epsilon: 0.23 max: 29.56421320045707
Ep: 44 | Ep_r: 24.71 | t_so_far: {992} | epsilon: 0.232 max: 29.56421320045707
Ep: 45 | Ep_r: 20.23 | t_so_far: {995} | epsilon: 0.232 max: 29.56421320045707
Ep: 46 | Ep_r: 16.61 | t_so_far: {998} | epsilon: 0.233 max: 29.56421320045707
Ep: 47 | Ep_r: 21.63 | t_so_far: {1048} | epsilon: 0.239 max: 29.56421320045707
Ep: 48 | Ep_r: 17.74 | t_so_far: {1051} | epsilon: 0.239 max: 29.56421320045707
