nohup: ignoring input
pygame 2.1.2 (SDL 2.0.16, Python 3.7.13)
Hello from the pygame community. https://www.pygame.org/contribute.html
Successfully set seed to 1
Ep: 0 | Ep_r: 32.57 | t_so_far: {41} | epsilon: 0.105 max: 32.56666666666666
Ep: 1 | Ep_r: 33.81 | t_so_far: {91} | epsilon: 0.111 max: 33.81333333333333
Ep: 2 | Ep_r: 34.56 | t_so_far: {134} | epsilon: 0.116 max: 34.55733333333333
Ep: 3 | Ep_r: 28.53 | t_so_far: {140} | epsilon: 0.117 max: 34.55733333333333
Ep: 4 | Ep_r: 24.4 | t_so_far: {150} | epsilon: 0.118 max: 34.55733333333333
Ep: 5 | Ep_r: 22.01 | t_so_far: {166} | epsilon: 0.12 max: 34.55733333333333
Ep: 6 | Ep_r: 20.19 | t_so_far: {180} | epsilon: 0.121 max: 34.55733333333333
Ep: 7 | Ep_r: 21.36 | t_so_far: {211} | epsilon: 0.125 max: 34.55733333333333
Ep: 8 | Ep_r: 18.31 | t_so_far: {218} | epsilon: 0.126 max: 34.55733333333333
Ep: 9 | Ep_r: 16.72 | t_so_far: {231} | epsilon: 0.127 max: 34.55733333333333
Ep: 10 | Ep_r: 16.39 | t_so_far: {248} | epsilon: 0.129 max: 34.55733333333333
Ep: 11 | Ep_r: 21.52 | t_so_far: {298} | epsilon: 0.135 max: 34.55733333333333
Ep: 12 | Ep_r: 18.06 | t_so_far: {303} | epsilon: 0.135 max: 34.55733333333333
Ep: 13 | Ep_r: 22.12 | t_so_far: {350} | epsilon: 0.141 max: 34.55733333333333
Ep: 14 | Ep_r: 18.76 | t_so_far: {357} | epsilon: 0.142 max: 34.55733333333333
Ep: 15 | Ep_r: 17.48 | t_so_far: {372} | epsilon: 0.143 max: 34.55733333333333
Ep: 16 | Ep_r: 14.8 | t_so_far: {377} | epsilon: 0.144 max: 34.55733333333333
Ep: 17 | Ep_r: 12.62 | t_so_far: {382} | epsilon: 0.145 max: 34.55733333333333
Ep: 18 | Ep_r: 14.63 | t_so_far: {410} | epsilon: 0.148 max: 34.55733333333333
Ep: 19 | Ep_r: 14.01 | t_so_far: {423} | epsilon: 0.149 max: 34.55733333333333
Ep: 20 | Ep_r: 17.09 | t_so_far: {459} | epsilon: 0.153 max: 34.55733333333333
Ep: 21 | Ep_r: 20.51 | t_so_far: {500} | epsilon: 0.158 max: 34.55733333333333
Ep: 22 | Ep_r: 17.61 | t_so_far: {507} | epsilon: 0.159 max: 34.55733333333333
Ep: 23 | Ep_r: 15.05 | t_so_far: {513} | epsilon: 0.159 max: 34.55733333333333
Ep: 24 | Ep_r: 14.36 | t_so_far: {528} | epsilon: 0.161 max: 34.55733333333333
Ep: 25 | Ep_r: 13.53 | t_so_far: {540} | epsilon: 0.162 max: 34.55733333333333
Ep: 26 | Ep_r: 12.16 | t_so_far: {548} | epsilon: 0.163 max: 34.55733333333333
Ep: 27 | Ep_r: 15.44 | t_so_far: {580} | epsilon: 0.167 max: 34.55733333333333
Ep: 28 | Ep_r: 19.21 | t_so_far: {622} | epsilon: 0.171 max: 34.55733333333333
Ep: 29 | Ep_r: 16.28 | t_so_far: {628} | epsilon: 0.172 max: 34.55733333333333
Ep: 30 | Ep_r: 13.29 | t_so_far: {630} | epsilon: 0.172 max: 34.55733333333333
Ep: 31 | Ep_r: 18.24 | t_so_far: {680} | epsilon: 0.178 max: 34.55733333333333
Ep: 32 | Ep_r: 15.21 | t_so_far: {684} | epsilon: 0.178 max: 34.55733333333333
Ep: 33 | Ep_r: 15.66 | t_so_far: {705} | epsilon: 0.181 max: 34.55733333333333
Ep: 34 | Ep_r: 14.53 | t_so_far: {718} | epsilon: 0.182 max: 34.55733333333333
Ep: 35 | Ep_r: 15.81 | t_so_far: {741} | epsilon: 0.184 max: 34.55733333333333
Ep: 36 | Ep_r: 18.58 | t_so_far: {777} | epsilon: 0.188 max: 34.55733333333333
Ep: 37 | Ep_r: 22.6 | t_so_far: {827} | epsilon: 0.194 max: 34.55733333333333
Ep: 38 | Ep_r: 26.55 | t_so_far: {875} | epsilon: 0.199 max: 34.55733333333333
Ep: 39 | Ep_r: 29.05 | t_so_far: {925} | epsilon: 0.204 max: 34.55733333333333
Ep: 40 | Ep_r: 29.65 | t_so_far: {963} | epsilon: 0.208 max: 34.55733333333333
Ep: 41 | Ep_r: 25.56 | t_so_far: {974} | epsilon: 0.209 max: 34.55733333333333
Ep: 42 | Ep_r: 21.83 | t_so_far: {982} | epsilon: 0.21 max: 34.55733333333333
Ep: 43 | Ep_r: 22.66 | t_so_far: {1013} | epsilon: 0.213 max: 34.55733333333333
Ep: 44 | Ep_r: 25.94 | t_so_far: {1063} | epsilon: 0.219 max: 34.55733333333333
Ep: 45 | Ep_r: 21.13 | t_so_far: {1066} | epsilon: 0.219 max: 34.55733333333333
Ep: 46 | Ep_r: 19.16 | t_so_far: {1080} | epsilon: 0.22 max: 34.55733333333333
Ep: 47 | Ep_r: 16.13 | t_so_far: {1085} | epsilon: 0.221 max: 34.55733333333333
Ep: 48 | Ep_r: 18.44 | t_so_far: {1118} | epsilon: 0.224 max: 34.55733333333333
Ep: 49 | Ep_r: 19.2 | t_so_far: {1142} | epsilon: 0.227 max: 34.55733333333333
Ep: 50 | Ep_r: 18.78 | t_so_far: {1163} | epsilon: 0.229 max: 34.55733333333333
Ep: 51 | Ep_r: 19.68 | t_so_far: {1189} | epsilon: 0.232 max: 34.55733333333333
Ep: 52 | Ep_r: 19.49 | t_so_far: {1211} | epsilon: 0.234 max: 34.55733333333333
Ep: 53 | Ep_r: 16.98 | t_so_far: {1219} | epsilon: 0.235 max: 34.55733333333333
Ep: 54 | Ep_r: 16.31 | t_so_far: {1234} | epsilon: 0.236 max: 34.55733333333333
Ep: 55 | Ep_r: 17.56 | t_so_far: {1258} | epsilon: 0.239 max: 34.55733333333333
Ep: 56 | Ep_r: 15.47 | t_so_far: {1268} | epsilon: 0.24 max: 34.55733333333333
Ep: 57 | Ep_r: 16.45 | t_so_far: {1293} | epsilon: 0.242 max: 34.55733333333333
Ep: 58 | Ep_r: 17.73 | t_so_far: {1319} | epsilon: 0.245 max: 34.55733333333333
Ep: 59 | Ep_r: 18.44 | t_so_far: {1344} | epsilon: 0.247 max: 34.55733333333333
Ep: 60 | Ep_r: 19.86 | t_so_far: {1373} | epsilon: 0.25 max: 34.55733333333333
Ep: 61 | Ep_r: 20.46 | t_so_far: {1399} | epsilon: 0.253 max: 34.55733333333333
Ep: 62 | Ep_r: 25.06 | t_so_far: {1449} | epsilon: 0.258 max: 34.55733333333333
Ep: 63 | Ep_r: 20.9 | t_so_far: {1454} | epsilon: 0.258 max: 34.55733333333333
Ep: 64 | Ep_r: 16.96 | t_so_far: {1456} | epsilon: 0.259 max: 34.55733333333333
Ep: 65 | Ep_r: 15.35 | t_so_far: {1466} | epsilon: 0.26 max: 34.55733333333333
Ep: 66 | Ep_r: 12.72 | t_so_far: {1469} | epsilon: 0.26 max: 34.55733333333333
Ep: 67 | Ep_r: 13.66 | t_so_far: {1488} | epsilon: 0.262 max: 34.55733333333333
Ep: 68 | Ep_r: 12.29 | t_so_far: {1496} | epsilon: 0.262 max: 34.55733333333333
Ep: 69 | Ep_r: 12.05 | t_so_far: {1510} | epsilon: 0.264 max: 34.55733333333333
Ep: 70 | Ep_r: 13.67 | t_so_far: {1536} | epsilon: 0.266 max: 34.55733333333333
Ep: 71 | Ep_r: 14.83 | t_so_far: {1559} | epsilon: 0.269 max: 34.55733333333333
