nohup: ignoring input
pygame 2.1.2 (SDL 2.0.16, Python 3.7.13)
Hello from the pygame community. https://www.pygame.org/contribute.html
Successfully set seed to 1
Ep: 0 | Ep_r: 37.67 | t_so_far: {50} | epsilon: 0.106 max: 37.66666666666666
Ep: 1 | Ep_r: 38.46 | t_so_far: {100} | epsilon: 0.112 max: 38.459999999999994
Ep: 2 | Ep_r: 36.46 | t_so_far: {135} | epsilon: 0.116 max: 38.459999999999994
Ep: 3 | Ep_r: 32.09 | t_so_far: {153} | epsilon: 0.118 max: 38.459999999999994
Ep: 4 | Ep_r: 34.61 | t_so_far: {203} | epsilon: 0.124 max: 38.459999999999994
Ep: 5 | Ep_r: 29.49 | t_so_far: {213} | epsilon: 0.125 max: 38.459999999999994
Ep: 6 | Ep_r: 24.25 | t_so_far: {217} | epsilon: 0.126 max: 38.459999999999994
Ep: 7 | Ep_r: 24.53 | t_so_far: {247} | epsilon: 0.129 max: 38.459999999999994
Ep: 8 | Ep_r: 26.53 | t_so_far: {290} | epsilon: 0.134 max: 38.459999999999994
Ep: 9 | Ep_r: 23.19 | t_so_far: {301} | epsilon: 0.135 max: 38.459999999999994
Ep: 10 | Ep_r: 19.2 | t_so_far: {305} | epsilon: 0.136 max: 38.459999999999994
Ep: 11 | Ep_r: 21.96 | t_so_far: {345} | epsilon: 0.14 max: 38.459999999999994
Ep: 12 | Ep_r: 21.24 | t_so_far: {366} | epsilon: 0.143 max: 38.459999999999994
Ep: 13 | Ep_r: 22.21 | t_so_far: {397} | epsilon: 0.146 max: 38.459999999999994
Ep: 14 | Ep_r: 18.72 | t_so_far: {403} | epsilon: 0.147 max: 38.459999999999994
Ep: 15 | Ep_r: 18.37 | t_so_far: {424} | epsilon: 0.149 max: 38.459999999999994
Ep: 16 | Ep_r: 22.98 | t_so_far: {474} | epsilon: 0.155 max: 38.459999999999994
Ep: 17 | Ep_r: 21.21 | t_so_far: {489} | epsilon: 0.157 max: 38.459999999999994
