pygame 2.1.0 (SDL 2.0.16, Python 3.8.0)
Hello from the pygame community. https://www.pygame.org/contribute.html
Traceback (most recent call last):
  File "./agent.py", line 486, in <module>
    args = parse_args(args)
  File "./agent.py", line 240, in parse_args
    parser.add_argument('--normal', default=True, action='store_flase')
  File "/home/slc/miniconda3/envs/RL2/lib/python3.8/argparse.py", line 1367, in add_argument
    raise ValueError('unknown action "%s"' % (action_class,))
ValueError: unknown action "store_flase"
pygame 2.1.0 (SDL 2.0.16, Python 3.8.0)
Hello from the pygame community. https://www.pygame.org/contribute.html
Successfully set seed to 2
Dueling_DQN_vector(
  (features): Sequential(
    (0): Linear(in_features=105, out_features=512, bias=True)
    (1): ReLU()
  )
  (advantage): Sequential(
    (0): Linear(in_features=512, out_features=512, bias=True)
    (1): ReLU()
    (2): Linear(in_features=512, out_features=5, bias=True)
  )
  (value): Sequential(
    (0): Linear(in_features=512, out_features=512, bias=True)
    (1): ReLU()
    (2): Linear(in_features=512, out_features=1, bias=True)
  )
)
Ep: 0 | Ep_r: 8.57 | t_so_far: {10} | epsilon: 0.101 max: 8.566666666666666
Ep: 1 | Ep_r: 8.44 | t_so_far: {20} | epsilon: 0.103 max: 8.566666666666666
Ep: 2 | Ep_r: 14.49 | t_so_far: {70} | epsilon: 0.11 max: 14.492
Ep: 3 | Ep_r: 16.41 | t_so_far: {96} | epsilon: 0.114 max: 16.413600000000002
Ep: 4 | Ep_r: 16.92 | t_so_far: {119} | epsilon: 0.117 max: 16.91754666666667
Ep: 5 | Ep_r: 18.34 | t_so_far: {148} | epsilon: 0.121 max: 18.340704000000006
Ep: 6 | Ep_r: 17.53 | t_so_far: {166} | epsilon: 0.123 max: 18.340704000000006
Ep: 7 | Ep_r: 15.95 | t_so_far: {178} | epsilon: 0.125 max: 18.340704000000006
Ep: 8 | Ep_r: 20.63 | t_so_far: {228} | epsilon: 0.132 max: 20.62884044800001
Ep: 9 | Ep_r: 18.53 | t_so_far: {240} | epsilon: 0.134 max: 20.62884044800001
Ep: 10 | Ep_r: 17.51 | t_so_far: {257} | epsilon: 0.136 max: 20.62884044800001
Ep: 11 | Ep_r: 15.35 | t_so_far: {265} | epsilon: 0.137 max: 20.62884044800001
Ep: 12 | Ep_r: 13.57 | t_so_far: {273} | epsilon: 0.138 max: 20.62884044800001
Ep: 13 | Ep_r: 11.93 | t_so_far: {280} | epsilon: 0.139 max: 20.62884044800001
Ep: 14 | Ep_r: 10.09 | t_so_far: {284} | epsilon: 0.14 max: 20.62884044800001
Ep: 15 | Ep_r: 8.92 | t_so_far: {289} | epsilon: 0.14 max: 20.62884044800001
Ep: 16 | Ep_r: 14.5 | t_so_far: {335} | epsilon: 0.147 max: 20.62884044800001
Ep: 17 | Ep_r: 15.4 | t_so_far: {356} | epsilon: 0.15 max: 20.62884044800001
Ep: 18 | Ep_r: 12.77 | t_so_far: {359} | epsilon: 0.15 max: 20.62884044800001
Ep: 19 | Ep_r: 18.4 | t_so_far: {408} | epsilon: 0.157 max: 20.62884044800001
Ep: 20 | Ep_r: 15.33 | t_so_far: {412} | epsilon: 0.157 max: 20.62884044800001
Ep: 21 | Ep_r: 13.0 | t_so_far: {417} | epsilon: 0.158 max: 20.62884044800001
Ep: 22 | Ep_r: 11.02 | t_so_far: {421} | epsilon: 0.158 max: 20.62884044800001
Ep: 23 | Ep_r: 9.41 | t_so_far: {425} | epsilon: 0.159 max: 20.62884044800001
Ep: 24 | Ep_r: 10.93 | t_so_far: {446} | epsilon: 0.162 max: 20.62884044800001
Ep: 25 | Ep_r: 16.33 | t_so_far: {496} | epsilon: 0.168 max: 20.62884044800001
Ep: 26 | Ep_r: 16.42 | t_so_far: {516} | epsilon: 0.171 max: 20.62884044800001
Ep: 27 | Ep_r: 14.11 | t_so_far: {522} | epsilon: 0.172 max: 20.62884044800001
Ep: 28 | Ep_r: 11.74 | t_so_far: {525} | epsilon: 0.172 max: 20.62884044800001
Ep: 29 | Ep_r: 9.85 | t_so_far: {528} | epsilon: 0.173 max: 20.62884044800001
Ep: 30 | Ep_r: 15.31 | t_so_far: {570} | epsilon: 0.178 max: 20.62884044800001
Ep: 31 | Ep_r: 19.39 | t_so_far: {615} | epsilon: 0.184 max: 20.62884044800001
Ep: 32 | Ep_r: 20.19 | t_so_far: {645} | epsilon: 0.188 max: 20.62884044800001
Ep: 33 | Ep_r: 20.09 | t_so_far: {669} | epsilon: 0.191 max: 20.62884044800001
Ep: 34 | Ep_r: 21.13 | t_so_far: {701} | epsilon: 0.195 max: 21.130566705109636
Ep: 35 | Ep_r: 18.12 | t_so_far: {709} | epsilon: 0.196 max: 21.130566705109636
Ep: 36 | Ep_r: 18.07 | t_so_far: {730} | epsilon: 0.199 max: 21.130566705109636
Ep: 37 | Ep_r: 15.78 | t_so_far: {738} | epsilon: 0.2 max: 21.130566705109636
Ep: 38 | Ep_r: 21.52 | t_so_far: {788} | epsilon: 0.206 max: 21.517906789079582
Ep: 39 | Ep_r: 19.59 | t_so_far: {802} | epsilon: 0.208 max: 21.517906789079582
Ep: 40 | Ep_r: 18.14 | t_so_far: {816} | epsilon: 0.21 max: 21.517906789079582
Ep: 41 | Ep_r: 22.91 | t_so_far: {866} | epsilon: 0.216 max: 22.914768276008743
Ep: 42 | Ep_r: 26.91 | t_so_far: {916} | epsilon: 0.222 max: 26.905147954140332
Ep: 43 | Ep_r: 22.62 | t_so_far: {923} | epsilon: 0.223 max: 26.905147954140332
Ep: 44 | Ep_r: 24.34 | t_so_far: {959} | epsilon: 0.228 max: 26.905147954140332
Ep: 45 | Ep_r: 20.94 | t_so_far: {968} | epsilon: 0.229 max: 26.905147954140332
Ep: 46 | Ep_r: 17.88 | t_so_far: {975} | epsilon: 0.23 max: 26.905147954140332
Ep: 47 | Ep_r: 17.21 | t_so_far: {991} | epsilon: 0.232 max: 26.905147954140332
Ep: 48 | Ep_r: 15.38 | t_so_far: {1000} | epsilon: 0.233 max: 26.905147954140332
Ep: 49 | Ep_r: 15.96 | t_so_far: {1023} | epsilon: 0.236 max: 26.905147954140332
Ep: 50 | Ep_r: 13.39 | t_so_far: {1027} | epsilon: 0.236 max: 26.905147954140332
Ep: 51 | Ep_r: 13.91 | t_so_far: {1047} | epsilon: 0.239 max: 26.905147954140332
Ep: 52 | Ep_r: 12.71 | t_so_far: {1056} | epsilon: 0.24 max: 26.905147954140332
Ep: 53 | Ep_r: 12.91 | t_so_far: {1073} | epsilon: 0.242 max: 26.905147954140332
Ep: 54 | Ep_r: 10.76 | t_so_far: {1076} | epsilon: 0.242 max: 26.905147954140332
Ep: 55 | Ep_r: 17.32 | t_so_far: {1126} | epsilon: 0.248 max: 26.905147954140332
Ep: 56 | Ep_r: 18.16 | t_so_far: {1153} | epsilon: 0.251 max: 26.905147954140332
Ep: 57 | Ep_r: 15.51 | t_so_far: {1159} | epsilon: 0.252 max: 26.905147954140332
Ep: 58 | Ep_r: 19.7 | t_so_far: {1202} | epsilon: 0.257 max: 26.905147954140332
Ep: 59 | Ep_r: 17.82 | t_so_far: {1215} | epsilon: 0.259 max: 26.905147954140332
Ep: 60 | Ep_r: 17.55 | t_so_far: {1235} | epsilon: 0.261 max: 26.905147954140332
Ep: 61 | Ep_r: 14.7 | t_so_far: {1239} | epsilon: 0.262 max: 26.905147954140332
Ep: 62 | Ep_r: 12.55 | t_so_far: {1244} | epsilon: 0.262 max: 26.905147954140332
Ep: 63 | Ep_r: 13.41 | t_so_far: {1265} | epsilon: 0.265 max: 26.905147954140332
Ep: 64 | Ep_r: 14.66 | t_so_far: {1289} | epsilon: 0.267 max: 26.905147954140332
Ep: 65 | Ep_r: 13.32 | t_so_far: {1299} | epsilon: 0.269 max: 26.905147954140332
Ep: 66 | Ep_r: 15.53 | t_so_far: {1326} | epsilon: 0.272 max: 26.905147954140332
Ep: 67 | Ep_r: 12.86 | t_so_far: {1329} | epsilon: 0.272 max: 26.905147954140332
Ep: 68 | Ep_r: 12.36 | t_so_far: {1341} | epsilon: 0.273 max: 26.905147954140332
Ep: 69 | Ep_r: 14.3 | t_so_far: {1367} | epsilon: 0.276 max: 26.905147954140332
Ep: 70 | Ep_r: 16.64 | t_so_far: {1395} | epsilon: 0.28 max: 26.905147954140332
Ep: 71 | Ep_r: 18.49 | t_so_far: {1424} | epsilon: 0.283 max: 26.905147954140332
Ep: 72 | Ep_r: 15.57 | t_so_far: {1429} | epsilon: 0.284 max: 26.905147954140332
Ep: 73 | Ep_r: 20.9 | t_so_far: {1479} | epsilon: 0.289 max: 26.905147954140332
Ep: 74 | Ep_r: 22.34 | t_so_far: {1512} | epsilon: 0.293 max: 26.905147954140332
Ep: 75 | Ep_r: 21.83 | t_so_far: {1535} | epsilon: 0.296 max: 26.905147954140332
Ep: 76 | Ep_r: 23.46 | t_so_far: {1570} | epsilon: 0.3 max: 26.905147954140332
Ep: 77 | Ep_r: 21.87 | t_so_far: {1589} | epsilon: 0.302 max: 26.905147954140332
Ep: 78 | Ep_r: 19.09 | t_so_far: {1598} | epsilon: 0.303 max: 26.905147954140332
Ep: 79 | Ep_r: 23.09 | t_so_far: {1647} | epsilon: 0.308 max: 26.905147954140332
Ep: 80 | Ep_r: 18.94 | t_so_far: {1650} | epsilon: 0.308 max: 26.905147954140332
Ep: 81 | Ep_r: 23.86 | t_so_far: {1700} | epsilon: 0.314 max: 26.905147954140332
Ep: 82 | Ep_r: 22.8 | t_so_far: {1722} | epsilon: 0.316 max: 26.905147954140332
Ep: 83 | Ep_r: 24.27 | t_so_far: {1756} | epsilon: 0.32 max: 26.905147954140332
Ep: 84 | Ep_r: 20.04 | t_so_far: {1760} | epsilon: 0.321 max: 26.905147954140332
Ep: 85 | Ep_r: 17.19 | t_so_far: {1767} | epsilon: 0.321 max: 26.905147954140332
Ep: 86 | Ep_r: 19.27 | t_so_far: {1802} | epsilon: 0.325 max: 26.905147954140332
Ep: 87 | Ep_r: 17.78 | t_so_far: {1815} | epsilon: 0.326 max: 26.905147954140332
Ep: 88 | Ep_r: 17.99 | t_so_far: {1837} | epsilon: 0.329 max: 26.905147954140332
Ep: 89 | Ep_r: 15.49 | t_so_far: {1844} | epsilon: 0.33 max: 26.905147954140332
Ep: 90 | Ep_r: 13.99 | t_so_far: {1853} | epsilon: 0.331 max: 26.905147954140332
Ep: 91 | Ep_r: 12.99 | t_so_far: {1863} | epsilon: 0.332 max: 26.905147954140332
Ep: 92 | Ep_r: 15.38 | t_so_far: {1894} | epsilon: 0.335 max: 26.905147954140332
Ep: 93 | Ep_r: 20.64 | t_so_far: {1944} | epsilon: 0.34 max: 26.905147954140332
Ep: 94 | Ep_r: 25.2 | t_so_far: {1994} | epsilon: 0.345 max: 26.905147954140332
Ep: 95 | Ep_r: 26.03 | t_so_far: {2030} | epsilon: 0.349 max: 26.905147954140332
Ep: 96 | Ep_r: 22.73 | t_so_far: {2041} | epsilon: 0.35 max: 26.905147954140332
